,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2007-01-01,1,2007-01-01,14.4,10.241666666666667,57.5,1015.0583333333334,238.08333333333334,4.2,494.5,76.33333333333333,295.5
2007-01-02,1,2007-01-02,13.525,8.758333333333333,56.416666666666664,1015.6166666666667,138.33333333333334,1.2583333333333333,587.9166666666666,65.08333333333333,330.9166666666667
2007-01-03,1,2007-01-03,12.975,8.483333333333333,61.333333333333336,1010.0666666666666,245.58333333333334,0.85,519.6666666666666,84.83333333333333,322.5833333333333
2007-01-04,1,2007-01-04,11.950000000000001,9.15,51.583333333333336,1004.1666666666666,228.83333333333334,2.5416666666666665,61.583333333333336,89.83333333333333,123.41666666666667
2007-01-05,1,2007-01-05,12.933333333333332,12.85,60.416666666666664,1001.7666666666668,272.6666666666667,7.991666666666667,169.83333333333334,86.41666666666667,172.41666666666666
2007-01-06,1,2007-01-06,14.108333333333334,14.424999999999999,52.25,1007.0833333333334,252.75,4.125,347.0833333333333,77.66666666666667,254.08333333333334
2007-01-07,1,2007-01-07,13.825000000000001,14.433333333333332,54.5,1007.0333333333333,277.9166666666667,3.4916666666666667,188.58333333333334,108.33333333333333,180.66666666666666
2007-01-08,1,2007-01-08,13.924999999999999,11.158333333333333,57.666666666666664,1008.5500000000001,338.25,2.6999999999999997,473.9166666666667,103.0,309.4166666666667
2007-01-09,1,2007-01-09,13.9,10.950000000000001,53.166666666666664,1007.8333333333334,146.66666666666666,2.9250000000000003,421.5,86.08333333333333,290.9166666666667
2007-01-10,1,2007-01-10,14.208333333333334,13.616666666666667,64.83333333333333,1006.9499999999999,20.666666666666668,4.2749999999999995,251.5,108.33333333333333,206.0
2007-01-11,1,2007-01-11,14.625,14.108333333333334,55.833333333333336,1004.0666666666666,120.75,4.891666666666667,314.9166666666667,115.08333333333333,260.6666666666667
2007-01-12,1,2007-01-12,13.6,14.408333333333333,62.916666666666664,1003.3249999999999,313.25,2.858333333333333,65.16666666666667,89.25,127.08333333333333
2007-01-13,1,2007-01-13,14.075000000000001,13.558333333333332,57.25,1002.725,197.41666666666666,3.108333333333333,192.08333333333334,110.16666666666667,195.0
2007-01-14,1,2007-01-14,15.216666666666667,12.308333333333332,45.25,1005.2916666666666,83.41666666666667,2.1333333333333333,463.3333333333333,99.41666666666667,321.5833333333333
2007-01-15,1,2007-01-15,15.174999999999999,14.125,61.416666666666664,1004.9166666666666,11.0,5.208333333333333,218.41666666666666,130.08333333333334,209.83333333333334
2007-01-16,1,2007-01-16,15.216666666666667,15.458333333333334,65.16666666666667,1007.6666666666666,303.0,2.841666666666667,403.1666666666667,89.25,287.6666666666667
2007-01-17,1,2007-01-17,15.116666666666667,9.566666666666666,59.666666666666664,1012.0166666666668,28.5,3.9333333333333336,543.75,84.08333333333333,347.75
2007-01-18,1,2007-01-18,13.916666666666666,7.358333333333333,59.166666666666664,1012.25,39.5,2.6,542.75,84.41666666666667,351.5833333333333
2007-01-19,1,2007-01-19,13.200000000000001,6.891666666666667,63.083333333333336,1009.0583333333334,200.83333333333334,2.033333333333333,428.5833333333333,101.66666666666667,321.4166666666667
2007-01-20,1,2007-01-20,14.308333333333332,13.658333333333333,58.5,1002.1416666666668,251.58333333333334,5.458333333333333,439.3333333333333,101.0,325.1666666666667
2007-01-21,1,2007-01-21,15.441666666666668,10.408333333333333,48.166666666666664,1003.5083333333333,330.5,4.8999999999999995,511.0833333333333,97.41666666666667,345.1666666666667
2007-01-22,1,2007-01-22,14.475,10.325000000000001,54.25,1009.8333333333334,49.166666666666664,2.766666666666667,596.25,72.25,363.3333333333333
2007-01-23,1,2007-01-23,15.308333333333332,8.799999999999999,59.083333333333336,1008.6916666666666,69.41666666666667,1.8,575.1666666666666,77.33333333333333,365.5
2007-01-24,1,2007-01-24,16.066666666666666,8.683333333333334,48.833333333333336,1005.375,224.41666666666666,1.0833333333333333,538.5,88.91666666666667,362.0
2007-01-25,1,2007-01-25,16.433333333333334,7.575,48.333333333333336,1004.7333333333332,78.25,1.5166666666666666,506.75,94.5,357.6666666666667
2007-01-26,1,2007-01-26,15.191666666666668,6.916666666666667,60.5,1005.275,32.0,2.1666666666666665,487.75,109.0,360.0
2007-01-27,1,2007-01-27,14.799999999999999,7.7250000000000005,72.41666666666667,1004.8166666666666,196.33333333333334,1.2333333333333334,433.8333333333333,116.0,352.1666666666667
