month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
1,2,15.518181818181818,12.763636363636364,50.36363636363637,1004.9636363636364,253.3636363636364,3.345454545454545,558.5454545454545,80.0909090909091,334.45454545454544
1,3,15.6,12.43,49.3,1003.01,228.4,4.15,144.0,170.6,235.7
1,4,15.727272727272728,13.572727272727274,48.63636363636363,999.2636363636364,246.8181818181818,6.554545454545454,449.6363636363636,112.0,327.72727272727275
1,5,16.44,14.830000000000002,57.9,996.77,275.3,9.33,0.4,86.0,86.1
1,6,15.981818181818182,12.890909090909092,58.18181818181818,1003.9909090909092,304.8181818181818,3.363636363636364,434.54545454545456,115.1818181818182,298.6363636363636
1,7,16.054545454545455,12.0,60.90909090909091,1010.2818181818184,50.81818181818182,3.2818181818181817,520.1818181818181,104.27272727272728,341.6363636363636
1,8,17.0,10.354545454545455,61.72727272727273,1012.5272727272728,44.36363636363637,4.227272727272728,534.4545454545455,100.63636363636364,348.8181818181818
1,9,16.291666666666668,9.016666666666667,63.91666666666666,1011.6333333333332,40.5,3.3833333333333333,599.0833333333334,67.16666666666667,340.25
1,10,16.158333333333335,10.466666666666669,65.08333333333333,1006.5916666666668,81.66666666666667,2.1750000000000003,327.6666666666667,138.16666666666666,282.6666666666667
1,11,18.683333333333334,8.25,39.25,1001.2916666666666,215.41666666666663,4.3500000000000005,436.8333333333333,109.0,317.0
1,12,16.191666666666666,10.341666666666669,55.833333333333336,1004.8416666666668,278.5833333333333,1.2916666666666667,364.6666666666667,132.0,299.5833333333333
1,13,16.141666666666666,11.05,60.0,1001.1916666666666,208.91666666666663,2.216666666666667,403.1666666666667,116.83333333333331,310.8333333333333
1,14,15.316666666666668,9.716666666666669,39.66666666666666,1002.9583333333334,258.0,5.45,437.75,113.83333333333331,318.6666666666667
1,15,16.241666666666667,13.591666666666669,56.833333333333336,1009.2583333333332,326.5,2.658333333333333,408.0833333333333,107.08333333333331,277.25
1,16,14.85,11.908333333333331,60.91666666666666,1008.8833333333332,344.5833333333333,2.066666666666667,639.0,60.0,355.75
1,17,15.383333333333333,11.633333333333333,53.41666666666666,1002.925,280.8333333333333,3.2416666666666667,290.6666666666667,126.58333333333331,259.8333333333333
1,18,15.633333333333333,11.308333333333332,43.333333333333336,998.25,239.0,6.65,529.6666666666666,85.25,342.4166666666667
1,19,14.9,10.741666666666667,47.66666666666666,1002.4583333333334,314.1666666666667,6.933333333333334,74.83333333333333,92.16666666666669,120.41666666666669
1,20,14.941666666666668,10.016666666666667,52.66666666666666,1006.8833333333332,152.66666666666666,0.7166666666666667,582.4166666666666,73.16666666666667,357.5833333333333
1,21,17.263636363636365,7.809090909090909,39.90909090909091,1000.8,186.54545454545453,3.063636363636364,194.72727272727272,201.72727272727272,277.0
1,22,16.783333333333335,12.816666666666668,42.583333333333336,996.575,239.66666666666663,6.283333333333334,221.5,169.58333333333334,280.3333333333333
1,23,16.191666666666666,11.966666666666669,47.5,999.175,271.75,5.075,160.25,165.0,233.5
1,24,14.958333333333334,17.75,57.41666666666666,999.925,267.25,3.758333333333333,37.25,151.91666666666666,164.91666666666666
1,25,12.775,13.316666666666668,69.25,998.95,270.8333333333333,6.516666666666667,19.33333333333333,111.33333333333331,119.83333333333331
1,26,11.133333333333333,11.966666666666669,66.16666666666667,1001.6,271.0833333333333,7.399999999999999,106.58333333333331,97.41666666666669,138.25
1,27,13.983333333333334,11.966666666666669,56.75,1006.8916666666668,282.5833333333333,4.741666666666666,21.75,116.08333333333331,122.91666666666669
1,28,14.866666666666667,10.625,55.91666666666666,1009.5833333333334,177.08333333333334,3.125,595.0,82.08333333333333,376.25
1,29,15.833333333333334,12.466666666666669,55.833333333333336,1008.725,324.9166666666667,3.875,253.83333333333331,165.75,276.3333333333333
1,30,15.666666666666666,10.716666666666669,55.833333333333336,1009.0666666666666,318.6666666666667,2.4833333333333334,526.5833333333334,107.33333333333331,362.4166666666667
1,31,15.341666666666669,11.541666666666666,59.91666666666666,1008.0666666666666,346.25,2.3583333333333334,465.0,123.75,357.75
2,1,15.95,10.825,57.41666666666666,1007.525,97.66666666666669,2.475,582.5833333333334,88.41666666666667,384.8333333333333
2,2,16.566666666666666,10.0,63.0,1008.8416666666668,33.166666666666664,2.7,473.1666666666667,119.5,368.5
2,3,17.766666666666666,11.058333333333332,59.66666666666666,1007.775,53.0,1.525,527.25,106.41666666666669,379.5
2,4,20.691666666666663,10.125,39.66666666666666,1004.575,194.5,2.0,238.5,166.91666666666666,281.1666666666667
2,5,21.541666666666668,7.558333333333334,27.75,1002.1833333333334,226.0,2.025,177.08333333333334,168.66666666666666,247.58333333333331
2,6,21.818181818181817,14.054545454545456,28.818181818181817,1003.3272727272728,225.1818181818182,1.7545454545454546,66.9090909090909,161.63636363636363,186.45454545454547
2,7,22.09166666666667,17.191666666666666,37.25,1003.625,59.91666666666666,3.3000000000000003,155.41666666666666,158.25,231.66666666666663
2,8,24.55,19.133333333333333,29.666666666666668,1000.4,77.58333333333333,1.7083333333333333,126.08333333333331,178.25,246.08333333333331
2,9,20.5,20.23333333333333,54.333333333333336,999.3,124.16666666666669,2.9250000000000003,90.0,198.0,247.25
2,10,24.70833333333333,13.641666666666666,36.083333333333336,992.4583333333334,174.83333333333334,3.091666666666667,128.08333333333334,176.66666666666666,249.25
2,11,20.23333333333333,19.5,44.41666666666666,995.65,331.6666666666667,3.608333333333333,28.08333333333333,159.5,173.83333333333334
